scenario_id,scenario_name,npv_usd,cumulative_probability
mc_base,Monte Carlo Base,-9134267491.283363,0.0229
mc_base,Monte Carlo Base,-9115746964.681335,0.023
mc_base,Monte Carlo Base,-9086351078.715977,0.0231
mc_base,Monte Carlo Base,-9070577084.446585,0.0232
mc_base,Monte Carlo Base,-9068825353.176916,0.0233
mc_base,Monte Carlo Base,-9064839524.859438,0.0234
mc_base,Monte Carlo Base,-9042991115.91621,0.0235
mc_base,Monte Carlo Base,-9039246733.013536,0.0236
mc_base,Monte Carlo Base,-9029172793.40049,0.0237
mc_base,Monte Carlo Base,-9019388776.987038,0.0238
mc_base,Monte Carlo Base,-9017983096.693567,0.0239
mc_base,Monte Carlo Base,-9014104746.70874,0.024
mc_base,Monte Carlo Base,-9010893780.283255,0.0241
mc_base,Monte Carlo Base,-8998741330.417753,0.0242
mc_base,Monte Carlo Base,-8996679863.603966,0.0243
mc_base,Monte Carlo Base,-8971381099.476437,0.0244
mc_base,Monte Carlo Base,-8966223912.133204,0.0245
mc_base,Monte Carlo Base,-8963221826.785034,0.0246
mc_base,Monte Carlo Base,-8957095794.232327,0.0247
mc_base,Monte Carlo Base,-8954512883.125965,0.0248
mc_base,Monte Carlo Base,-8954503729.449839,0.0249
mc_base,Monte Carlo Base,-8953272302.62856,0.025
mc_base,Monte Carlo Base,-8937562241.860298,0.0251
mc_base,Monte Carlo Base,-8925911069.365145,0.0252
mc_base,Monte Carlo Base,-8922450031.500923,0.0253
mc_base,Monte Carlo Base,-8910557908.645418,0.0254
mc_base,Monte Carlo Base,-8893812821.981167,0.0255
mc_base,Monte Carlo Base,-8848869426.693798,0.0256
mc_base,Monte Carlo Base,-8838437783.361553,0.0257
mc_base,Monte Carlo Base,-8832386970.001936,0.0258
mc_base,Monte Carlo Base,-8832078680.850183,0.0259
mc_base,Monte Carlo Base,-8821648392.900524,0.026
mc_base,Monte Carlo Base,-8784046667.02393,0.0261
mc_base,Monte Carlo Base,-8783295652.307678,0.0262
mc_base,Monte Carlo Base,-8774659351.39268,0.0263
mc_base,Monte Carlo Base,-8760142649.593319,0.0264
mc_base,Monte Carlo Base,-8759570089.679525,0.0265
mc_base,Monte Carlo Base,-8757007807.752827,0.0266
mc_base,Monte Carlo Base,-8755868082.688744,0.0267
mc_base,Monte Carlo Base,-8752738548.6307,0.0268
mc_base,Monte Carlo Base,-8751834909.394045,0.0269
mc_base,Monte Carlo Base,-8750799068.8685,0.027
mc_base,Monte Carlo Base,-8747624475.787762,0.0271
mc_base,Monte Carlo Base,-8736170990.019274,0.0272
mc_base,Monte Carlo Base,-8733105067.340357,0.0273
mc_base,Monte Carlo Base,-8728580645.550932,0.0274
mc_base,Monte Carlo Base,-8715839873.736494,0.0275
mc_base,Monte Carlo Base,-8714208142.738798,0.0276
mc_base,Monte Carlo Base,-8708946253.28129,0.0277
mc_base,Monte Carlo Base,-8687480852.32064,0.0278
mc_base,Monte Carlo Base,-8680048131.34086,0.0279
mc_base,Monte Carlo Base,-8676367733.81144,0.028
mc_base,Monte Carlo Base,-8664302204.859514,0.0281
mc_base,Monte Carlo Base,-8661772133.565742,0.0282
mc_base,Monte Carlo Base,-8657074560.29839,0.0283
mc_base,Monte Carlo Base,-8642125498.830107,0.0284
mc_base,Monte Carlo Base,-8633370022.76626,0.0285
mc_base,Monte Carlo Base,-8621568509.880497,0.0286
mc_base,Monte Carlo Base,-8612205835.8361,0.0287
