iteration,average_price_usd_per_lb,terminal_price_usd_per_lb,price_path_std_usd_per_lb,grade_factor,average_recovery,recovery_std,npv_usd,scenario_id,scenario_name,valuation_basis
86,4.69694,5.7815,0.94205,0.88649,0.84218,0.02327,225973925.39536,mc_base,Monte Carlo Base,total_project_expanded_operation
87,4.6875,4.96059,0.75821,0.91849,0.8388,0.02312,747901693.31743,mc_base,Monte Carlo Base,total_project_expanded_operation
88,4.94017,5.58884,1.31359,0.95864,0.8489,0.02181,1883442967.29109,mc_base,Monte Carlo Base,total_project_expanded_operation
89,4.23894,3.65889,0.85115,1.02516,0.84459,0.02707,235499859.10585,mc_base,Monte Carlo Base,total_project_expanded_operation
90,4.30753,4.24719,0.71329,1.02574,0.83161,0.01954,1142731016.66422,mc_base,Monte Carlo Base,total_project_expanded_operation
91,5.0317,6.00109,1.0044,0.98582,0.84858,0.02363,3284191006.54038,mc_base,Monte Carlo Base,total_project_expanded_operation
92,4.18826,4.53314,0.75468,0.97853,0.84082,0.01697,-48271307.61393,mc_base,Monte Carlo Base,total_project_expanded_operation
93,3.85338,4.01949,0.38188,0.96721,0.82905,0.01963,-1953333907.9006,mc_base,Monte Carlo Base,total_project_expanded_operation
94,4.61902,3.63575,0.91418,0.96154,0.84023,0.01728,885318279.50956,mc_base,Monte Carlo Base,total_project_expanded_operation
95,4.22182,4.85432,0.62651,1.0362,0.84171,0.01975,886912682.93625,mc_base,Monte Carlo Base,total_project_expanded_operation
96,4.13266,4.84644,1.05795,0.99146,0.8439,0.02566,-2150122836.34704,mc_base,Monte Carlo Base,total_project_expanded_operation
97,3.71555,4.27764,0.60595,0.87708,0.84996,0.02723,-4223749476.88632,mc_base,Monte Carlo Base,total_project_expanded_operation
98,3.95242,4.9396,0.85866,1.08752,0.83049,0.02154,-617120157.60271,mc_base,Monte Carlo Base,total_project_expanded_operation
99,4.68226,5.29861,0.97048,0.97611,0.85034,0.01908,3501784943.61168,mc_base,Monte Carlo Base,total_project_expanded_operation
100,4.88438,5.96405,1.1497,0.93876,0.83373,0.02368,1904198171.52715,mc_base,Monte Carlo Base,total_project_expanded_operation
101,3.5273,4.63703,0.57097,1.0196,0.84402,0.021,-3103197759.36435,mc_base,Monte Carlo Base,total_project_expanded_operation
102,5.67653,4.7948,1.03658,0.91114,0.84366,0.02139,6321882889.27379,mc_base,Monte Carlo Base,total_project_expanded_operation
103,4.70614,4.28936,1.53631,0.85771,0.8462,0.02091,-2562647625.23051,mc_base,Monte Carlo Base,total_project_expanded_operation
104,4.74501,4.01564,1.04611,0.86717,0.82877,0.01877,-1421877526.57548,mc_base,Monte Carlo Base,total_project_expanded_operation
105,3.36864,5.16668,0.94201,1.06317,0.84079,0.02735,-4087178201.63275,mc_base,Monte Carlo Base,total_project_expanded_operation
